date,year,month,day,city,station,PM2.5_ug_m3,PM10_ug_m3,SO2_ug_m3,NO2_ug_m3,CO_mg_m3,O3_ug_m3,AQI,predominant_pollutant,source
2018-01-01,2018,1,1,Mumbai,Industrial Area - Navi Mumbai,155,262,6.6,114.7,1.64,76.7,269,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-02,2018,1,2,Mumbai,Industrial Area - Navi Mumbai,108,193,31.7,55.7,1.61,31.9,181,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-03,2018,1,3,Mumbai,Industrial Area - Navi Mumbai,105,267,14.9,92.4,1.74,115.9,193,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-04,2018,1,4,Mumbai,Industrial Area - Navi Mumbai,123,245,9.3,62.2,2.74,67.5,208,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-05,2018,1,5,Mumbai,Industrial Area - Navi Mumbai,232,150,18.0,66.9,2.59,45.9,355,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-01-06,2018,1,6,Mumbai,Industrial Area - Navi Mumbai,81,158,9.8,97.0,3.16,93.3,153,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-07,2018,1,7,Mumbai,Industrial Area - Navi Mumbai,172,86,24.0,102.6,1.08,14.6,277,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-01-08,2018,1,8,Mumbai,Industrial Area - Navi Mumbai,54,258,34.6,114.7,2.97,24.9,128,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-09,2018,1,9,Mumbai,Industrial Area - Navi Mumbai,164,91,26.8,48.5,1.28,75.8,250,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-01-10,2018,1,10,Mumbai,Industrial Area - Navi Mumbai,212,198,6.9,78.6,2.53,79.7,334,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-01-11,2018,1,11,Mumbai,Industrial Area - Navi Mumbai,161,264,27.3,31.5,3.08,18.7,253,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-12,2018,1,12,Mumbai,Industrial Area - Navi Mumbai,127,220,6.0,65.7,0.72,78.3,212,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-13,2018,1,13,Mumbai,Industrial Area - Navi Mumbai,130,282,29.5,56.7,1.75,55.1,218,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-14,2018,1,14,Mumbai,Industrial Area - Navi Mumbai,125,144,17.9,87.3,1.15,29.5,211,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-15,2018,1,15,Mumbai,Industrial Area - Navi Mumbai,227,207,7.3,84.0,1.68,117.7,357,PM2.5,Synthetic multi-year data modeled on CPCB format
2018-01-16,2018,1,16,Mumbai,Industrial Area - Navi Mumbai,50,85,10.9,124.7,2.14,115.2,113,NO2,Synthetic multi-year data modeled on CPCB format
2018-01-17,2018,1,17,Mumbai,Industrial Area - Navi Mumbai,225,316,7.3,99.8,0.6,116.2,367,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-18,2018,1,18,Mumbai,Industrial Area - Navi Mumbai,182,205,30.6,84.8,1.14,77.6,294,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-19,2018,1,19,Mumbai,Industrial Area - Navi Mumbai,216,291,26.0,64.9,1.4,86.1,342,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-20,2018,1,20,Mumbai,Industrial Area - Navi Mumbai,120,319,21.2,68.1,2.43,21.7,210,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-21,2018,1,21,Mumbai,Industrial Area - Navi Mumbai,162,297,5.4,29.5,2.76,77.7,256,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-22,2018,1,22,Mumbai,Industrial Area - Navi Mumbai,83,143,28.2,41.0,2.68,98.3,138,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-23,2018,1,23,Mumbai,Industrial Area - Navi Mumbai,244,327,10.3,130.5,3.21,117.5,403,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-24,2018,1,24,Mumbai,Industrial Area - Navi Mumbai,53,154,9.3,44.8,0.86,11.2,98,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-25,2018,1,25,Mumbai,Industrial Area - Navi Mumbai,155,182,24.1,125.0,2.06,87.5,267,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-26,2018,1,26,Mumbai,Industrial Area - Navi Mumbai,56,329,32.4,33.4,2.69,53.4,111,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-27,2018,1,27,Mumbai,Industrial Area - Navi Mumbai,177,226,28.7,48.3,0.43,19.4,278,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-28,2018,1,28,Mumbai,Industrial Area - Navi Mumbai,101,194,10.7,105.1,2.72,57.4,186,PM10,Synthetic multi-year data modeled on CPCB format
2018-01-29,2018,1,29,Mumbai,Industrial Area - Navi Mumbai,137,340,18.0,35.7,1.88,12.7,226,PM10,Synthetic multi-year data modeled on CPCB format
